id,having_IP_Address,URL_Length,Shortining_Service,having_At_Symbol,double_slash_redirecting,Prefix_Suffix,having_Sub_Domain,SSLfinal_State,Domain_registeration_length,HTTPS_token,Request_URL,URL_of_Anchor,Links_in_tags,Submitting_to_email,Abnormal_URL,Redirect,on_mouseover,RightClick,Iframe,age_of_domain,DNSRecord,web_traffic,Google_Index,Links_pointing_to_page,Result,WebsiteURL
,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,0,0,0,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,https://phishtank.org/
,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,1,0,-1,1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,https://web.whatsapp.com/
,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,https://www.netacad.com/
,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,1,-1,1,-1,-1,-1,-1,0,-1,0,-1,1,-1,https://www.kaggle.com/
,-1,-1,-1,-1,-1,-1,0,1,0,-1,0,0,0,0,1,1,-1,-1,-1,0,-1,0,1,-1,1,http://metamaskwallet.pro
,-1,-1,-1,-1,-1,-1,0,1,0,-1,0,0,0,0,1,-1,-1,-1,-1,0,-1,0,1,1,1,http://kousd.xyz
,-1,-1,-1,-1,-1,-1,-1,1,0,-1,0,0,0,0,1,-1,-1,-1,1,0,1,0,1,1,1,http://vqmkhdsrps.duckdns.org
,-1,-1,-1,-1,-1,-1,-1,1,0,-1,0,0,0,0,1,-1,-1,-1,1,0,1,0,1,1,1,http://vjfdawtrfb.duckdns.org
,-1,-1,-1,-1,-1,1,0,1,0,-1,0,0,0,0,1,-1,-1,-1,-1,0,-1,0,1,1,1,http://1inchx-drop.pro
,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,-1,1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,https://www.google.com/
,-1,-1,-1,-1,-1,-1,-1,0,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,https://www.amazon.in/
,-1,-1,-1,-1,-1,1,-1,1,0,-1,0,0,0,0,1,-1,-1,-1,-1,0,-1,0,1,0,1,https://login.dbs-ibanking.me/
,-1,-1,1,-1,-1,-1,-1,0,0,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,https://www.flipkart.com/
,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,1,-1,1,-1,-1,-1,-1,0,-1,0,-1,0,-1,https://colab.research.google.com/
,-1,-1,-1,-1,-1,-1,-1,0,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,https://www.wikipedia.org/
,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,https://twitter.com/
